rnd_seed,MSE_DR,,,MSE_UR,,,MSE_GCRF,,,RMSE_DR,,,RMSE_UR,,,RMSE_GCRF,,,R2_DR,,,R2_UR,,,R2_GCRF,,,alpha,beta
2722296,0.997433497064391,0.506415040191691,0.545080771370565,7.22026701395153,0.403280132574146,0.286019900462115,0.131933962114639,0.088065395987382,0.018555862670962,0.884298320556195,0.620060130653809,0.647921197430518,1.54669880716944,0.422837414149149,0.353280089984952,0.353526117546975,0.290335674296915,0.126007694370103,-8.07665740465725,-3.15618592348989,-1.63273003626975E+029,-63.8211766304963,-2.26842842843005,0,-0.184654460427676,0.303891991687314,0,1012.74980740994,799.354417793453
4432043,0.979039892059413,0.533203902270552,0.448264033171616,0.512974863632982,0.04394780958736,0.022254482093968,0.786749912350713,0.064481525692736,0.013421915400622,0.860127464213213,0.657374591637168,0.56285808432344,0.643248134881414,0.188154479684727,0.1370876534798,0.813289340542859,0.250969952726578,0.096941584932671,-7.85745209938988,-3.5204283657356,0.02,-3.5652739105909,0.634164122334052,0,-6.00027501704692,0.472485379383511,0,1012.66610055417,804.263977132738
7277146,1.06926306991985,0.479711389293577,0.73916146445298,3.76294715638387,0.62949903771684,1.21958490750083,0.248974338549195,0.076155566635056,0.025398134310403,0.874678399147048,0.585579270962234,0.724821990653354,1.23258916917338,0.549854385013642,0.723018295837527,0.476857007360907,0.272197133717869,0.152890522679872,-8.47806773307882,-2.89084740347075,0.02,-32.3126364821649,-4.17059016577013,0,-1.22660733311475,0.383381622031505,0,1012.77650592476,801.818836398423
6862336,1.15515750242448,0.368937733950902,0.755688863674069,0.261102050150439,1.52765029108148,0.088602547722082,0.344260169870114,0.222374388479929,0.057358355600324,0.953632092032403,0.536409012701719,0.768605210513409,0.406076785833685,0.835847558666177,0.233978412771258,0.505143226432048,0.43508927280973,0.197336258244187,-9.08650205944501,-1.98963462728209,0,-1.2163832870464,-11.3295118810158,0,-1.93065017711878,-0.786447337718806,0,1012.98257948458,804.639865301549
8552622,1.01343506285752,0.526549157301718,0.346803868583829,0.113111494408003,0.222061762747266,0.039361886671147,0.105862764934328,0.206322299726016,0.031676939567235,0.895741052390937,0.659407669810968,0.541843031015525,0.298302087175478,0.434354536008225,0.166951132045249,0.319192817731964,0.434424272992791,0.154496589330789,-8.19207271231016,-3.40496366786329,-5.13366349741337E+029,-0.011973159416462,-0.829267844432481,-1.63346222498158E+028,0.051769188094848,-0.694991886802358,-1.02514558675512E+028,1012.74014002085,800.128274157643
9760759,0.883072840876126,0.208843115555354,0.337220678397099,0.243957888881402,0.046415127715193,0.094125393409275,0.138318771281505,0.068980798137808,0.036956692390474,0.792741835375241,0.379455740710751,0.486884089119892,0.410098185096566,0.183725505564263,0.269293341177695,0.362306179220278,0.252258690614527,0.173918693882102,-6.72786376682205,-0.701911578113293,-2.71148988580095E+029,-1.16423297840661,0.617243241055023,-1.08584975615718E+029,-0.23387897547297,0.433031346867516,-4.09360261151254E+028,1012.76834757626,802.665043897927
2322389,0.963157370068802,0.424443268424444,0.522638702914769,41.4987268956469,2.74871601361451,4.34723819397741,1.14081636420812,0.803503514821737,0.034002553574147,0.855506252936456,0.563932483812947,0.605979568114379,3.10353523052909,1.08883900490696,1.07142813980831,0.837918117821648,0.763749044123013,0.167412516600149,-7.40218269973396,-2.43912592272412,0.04,-362.29216798187,-21.4593851897719,0,-8.99384287862393,-5.50876090299673,0,1012.5832734108,803.914663746953
5522917,1.1753764094208,0.211861992154172,0.461762926530017,0.291610620432704,0.049993707856947,0.067169585270093,0.247583726188557,0.071088292631283,0.037328403673926,0.925735060517905,0.400800582888506,0.594661195028175,0.445337356028408,0.196102924701021,0.228176739541105,0.455662395692983,0.259528933605056,0.173558002165375,-9.10478795703696,-0.653305703966323,-1.09621399885274E+029,-1.58743017525615,0.59980527675493,0,-1.20121233464638,0.435303376566261,0,1012.88991363347,804.584026619792
6485978,0.81332810902696,0.405384926083056,0.348045505639527,0.015368200026388,0.012061253617205,0.050347352708955,0.096125709850951,0.057058713283882,0.044341443030698,0.779580243528682,0.535383303255406,0.502589547413554,0.111638030437784,0.101960293099961,0.203337357626583,0.30485177680693,0.236901337733953,0.1927787023349,-6.39428717868928,-2.39866305738101,-4.98888386430766E+029,0.864069679595926,0.90338517170502,-6.76147370351354E+028,0.147094406246636,0.544094323178377,-5.43184486655543E+028,1012.9667596072,801.75709541142
233378,0.720704729437854,0.157468228644033,0.281012922691231,0.893181304455343,0.225662120040903,0.232330721313829,0.350194518792021,0.290371362921273,0.206123655186845,0.711695859916366,0.338405456377114,0.45322035425292,0.765580186694504,0.422955306954726,0.424663798610519,0.530329279124282,0.494388817289209,0.400916026156751,-5.04608885462083,-0.296173169795516,-2.18971351265512E+029,-6.65956554947843,-0.930690349595052,0,-2.00308786101247,-1.48046219374115,0,1012.86765214801,802.649633079767
