rnd_seed,MSE_DR,,,MSE_UR,,,MSE_GCRF,,,RMSE_DR,,,RMSE_UR,,,RMSE_GCRF,,,R2_DR,,,R2_UR,,,R2_GCRF,,,alpha,beta
2722296,1.05415086822276,0.535152103782709,0.545080771370565,0.179758181612627,0.074002121513162,0.039167420991212,0.097245983531726,0.054330236718329,0.042669523143216,0.909592147431654,0.637715862112396,0.647921197430518,0.362636551480726,0.252772754802648,0.186748987255323,0.299418248111835,0.226572346576637,0.201497527236733,-24.3094528979781,-10.2832062362769,-7.72129234192913,-3.27878822655907,-0.531203521453214,0.373321264140607,-1.319305054465,-0.116889676691019,0.317287629708533,900.366809919477,605.413877278566
4432043,1.03433604447939,0.566606390876924,0.448264033171616,0.321129902277633,0.05600161318183,0.105933482577686,0.186808123799219,0.052981949628975,0.120772731119432,0.88482950062227,0.677924810758328,0.56285808432344,0.504987199884279,0.210942972902364,0.281379291662377,0.405127527776711,0.225575674861335,0.311501443255621,-24.6107768872983,-10.6398835598366,-6.17222453074595,-6.89919326733736,-0.1300773447382,-0.694935721242995,-3.60266672123714,-0.061711277787457,-0.93236369791094,900.235713616014,612.944810219109
7277146,1.11951763708569,0.502554195934904,0.73916146445298,0.857055244774756,0.129930261284536,0.085066215232236,0.299378265470097,0.048716464834904,0.076361069630526,0.895170362730981,0.59949148838922,0.724821990653355,0.743240853063356,0.273212442451135,0.274387849366547,0.482793150369395,0.204031155843816,0.271957281225685,-25.4823250353454,-9.07739600407715,-10.8265834312478,-19.4151130760683,-1.57261599347885,-0.361059443715784,-6.1479189448958,0.041281063818123,-0.221777114088431,900.256248630583,606.892452567816
6862336,1.20459769916484,0.384770434454192,0.755688863674069,0.129999620283403,0.048591855827802,0.01284970597258,0.044776466954086,0.034454909583136,0.022106162661672,0.973793511047567,0.547775713327075,0.768605210513409,0.292682481683519,0.189533002312865,0.094761728763416,0.205100764940434,0.177317924110568,0.141455335355267,-26.9915106223187,-6.30302931849848,-11.0910218187853,-2.02807280825721,0.042174090747937,0.794404704438711,-0.050854298002087,0.329763769056083,0.646301397413239,900.481690727174,605.684427492321
8552622,1.06440599531576,0.554831207693157,0.346803868583828,0.164887809818546,0.030362664157633,0.04011516379515,0.042726981105584,0.022452779640897,0.045408654161947,0.918499960620396,0.677039577985876,0.541843031015525,0.29037819239014,0.154805821990175,0.179924756940517,0.20164414420602,0.147492900083521,0.205664532745532,-23.4552607633126,-10.7283688905856,-4.54886189734136,-2.81980365069566,0.380000493377926,0.358157379277595,0.013970872398011,0.547037510217888,0.273461533408838,900.334070034325,603.679454959929
9760759,0.916758884099805,0.216969197967139,0.337220678397099,0.16320811061721,0.057599887387682,0.068533139427625,0.260929305528277,0.0396179545726,0.068774109149604,0.807368576771009,0.386606452000906,0.486884089119892,0.344538515307509,0.197141913961682,0.237846066658604,0.452964022874667,0.191943520361985,0.248007119738636,-21.209480186821,-3.60064005936787,-4.39553085435366,-2.99167276935716,-0.215595905301077,-0.096530230842017,-5.39686236476522,0.166027203521894,-0.100385746393681,900.325699754059,613.803787514567
2322389,1.01272524633606,0.446703559256465,0.522638702914769,0.998270357733008,0.296819523542538,0.360391073560669,0.294749159210263,0.104952869381269,0.245210278246904,0.877701955947928,0.578797731197451,0.605979568114379,0.702168010031726,0.367333981211135,0.510501847610381,0.494386582050339,0.278509042249004,0.459595738799244,-17.8990702171532,-7.22629139220603,-7.36221924663642,-17.7092753809579,-4.67539522115084,-4.76625717697079,-4.53621071446723,-0.978087950956786,-2.92336445195052,900.261362820864,600.535457186401
5522917,1.22369990413355,0.220509522892422,0.461762926530017,0.400909503086414,0.04065978688982,0.178625776529197,0.153394481637928,0.03740585874911,0.060385607953775,0.9444494126598,0.408879297896797,0.594661195028175,0.504105898957406,0.170453630292425,0.340025319355823,0.344705843860227,0.181979474477421,0.226471704371686,-36.2619439337605,-3.16078693652662,-6.38820682448038,-11.5027961595999,0.218695435319507,-1.8580124244672,-3.80306560767906,0.285872396252334,0.033830272739593,900.400071039796,614.203282125294
6485978,0.835566712793312,0.417085950789282,0.348045505639527,0.247788308370235,0.062095592485021,0.108144919224321,0.101292804318955,0.076080476834211,0.101546315715634,0.789605997157785,0.542645270707058,0.502589547413555,0.400535338246857,0.240850909664548,0.283535009510795,0.291922465003688,0.269296008153975,0.29035500183886,-12.5500811810965,-6.04859067216425,-4.56872809023248,-2.86184213671167,-0.100686102594035,-0.730318707589151,-0.61692572871142,-0.349845746699081,-0.624741051450161,900.422549769282,597.34653544426
233378,0.750044397850505,0.163854733231837,0.281012922691231,0.863498829329913,0.097542387691255,0.114268787436211,0.64681637443114,0.12726245989951,0.134110214299131,0.725872415723847,0.345125652294648,0.45322035425292,0.741679301942588,0.280392941930156,0.26823339553183,0.673882399123997,0.323087834613285,0.314177701579294,-15.500230489078,-2.18237933640206,-3.49620676305972,-18.7928121005913,-0.965865301649216,-0.82830059897938,-13.8262193901523,-1.56475371436556,-1.1457634287861,900.404413640499,607.710772998631
