1366719878 function calls (1324972940 primitive calls) in 1086.654 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   410495    0.055    0.000    0.055    0.000 {method 'values' of 'dict' objects}
   405117    0.044    0.000    0.044    0.000 transforms.py:1722(get_affine)
   401030    0.253    0.000    0.407    0.000 function_base.py:257(iterable)
   390200    0.322    0.000    1.248    0.000 operations.py:70(_new_rawargs)
   380745    3.425    0.000    6.735    0.000 facts.py:503(deduce_all_facts)
   363944    0.086    0.000    0.086    0.000 power.py:296(base)
   362259    0.061    0.000    0.061    0.000 {method 'lower' of 'str' objects}
   351282    1.616    0.000    3.419    0.000 mul.py:372(_gather)
   341078    0.308    0.000    0.308    0.000 backend_bases.py:1639(is_saving)
   340629    0.211    0.000    0.552    0.000 __init__.py:1342(is_interactive)
   340625    1.068    0.000    2.164    0.000 pyplot.py:578(_auto_draw_if_interactive)
   340320    0.274    0.000    2.819    0.000 figure.py:49(_stale_figure_callback)
   336220    0.349    0.000    0.420    0.000 getlimits.py:365(__new__)
   332465    0.155    0.000    0.315    0.000 libmpf.py:330(from_int)
   331494    0.053    0.000    0.053    0.000 artist.py:838(get_rasterized)
   331494    0.063    0.000    0.063    0.000 artist.py:858(get_agg_filter)
   327397    0.191    0.000    0.233    0.000 artist.py:338(pchanged)
   307582    0.245    0.000    1.301    0.000 axis.py:1539(convert_units)
   307582    0.325    0.000    1.056    0.000 units.py:122(is_numlike)
   304833    0.065    0.000    0.065    0.000 numbers.py:1874(as_coeff_Mul)
   303923    0.251    0.000    0.823    0.000 mul.py:383(<listcomp>)
   292880    0.161    0.000    0.161    0.000 {built-in method gmpy2._mpmath_create}
   289243    0.443    0.000    1.144    0.000 mul.py:762(as_coeff_Mul)
   286727    0.230    0.000    0.236    0.000 backend_qt5.py:487(draw_idle)
   286291    0.254    0.000    0.293    0.000 __init__.py:2151(_check_in_list)
   283972    0.388    0.000    0.388    0.000 {method 'copy' of 'numpy.ndarray' objects}
   277943    1.915    0.000    2.435    0.000 transforms.py:2791(nonsingular)
   275749    0.052    0.000    0.052    0.000 {built-in method gmpy2.bit_length}
   274217    0.090    0.000    0.115    0.000 densebasic.py:697(dmp_zero_p)
   270866    0.715    0.000    1.510    0.000 mul.py:1371(_eval_subs)
268417/134888    0.833    0.000    2.898    0.000 transforms.py:2395(get_affine)
266383/257728    0.126    0.000    0.133    0.000 transforms.py:2357(<lambda>)
   263360    1.472    0.000    2.521    0.000 basic.py:1757(_exec_constructor_postprocessors)
   258059    0.221    0.000    0.286    0.000 transforms.py:377(intervalx)
   249647    0.180    0.000    0.180    0.000 operations.py:32(<listcomp>)
249647/199863    1.818    0.000   74.345    0.000 operations.py:28(__new__)
   246487    0.232    0.000    1.123    0.000 colors.py:115(_is_nth_color)
   245996    0.284    0.000    1.533    0.000 colors.py:149(to_rgba)
   245993    0.235    0.000    0.416    0.000 re.py:271(_compile)
   244792    0.242    0.000    1.113    0.000 transforms.py:126(invalidate)
   244781    0.356    0.000    0.356    0.000 {method 'match' of 're.Pattern' objects}
243702/243692    0.368    0.000    6.633    0.000 {method 'sort' of 'list' objects}
   243693    0.181    0.000    0.864    0.000 re.py:170(match)
   241946    0.066    0.000    0.107    0.000 base.py:1192(isspmatrix)
   229641    0.079    0.000    0.079    0.000 stride_tricks.py:266(<genexpr>)
   229270    0.271    0.000    2.607    0.000 artist.py:49(_stale_axes_callback)
   228649    0.167    0.000    0.403    0.000 numbers.py:1918(_as_mpf_val)
   214115    0.284    0.000    0.284    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   211323    0.044    0.000    0.044    0.000 add.py:513(<genexpr>)
211221/121001    0.635    0.000    1.448    0.000 units.py:142(get_converter)
   211221    0.207    0.000    0.642    0.000 __init__.py:1651(safe_first_element)
209966/209962    0.427    0.000    2.407    0.000 numbers.py:1161(__mul__)
   209966    0.240    0.000    0.361    0.000 libmpf.py:850(gmpy_mpf_mul)
   207831    0.273    0.000    0.488    0.000 add.py:356(as_coeff_Add)
   207722    0.218    0.000    0.995    0.000 artist.py:170(convert_xunits)
   207722    0.168    0.000    0.727    0.000 artist.py:182(convert_yunits)
   200637    0.170    0.000    2.922    0.000 fromnumeric.py:55(_wrapfunc)
   199260    0.221    0.000    2.879    0.000 assumptions.py:215(__init__)
   198316    0.129    0.000    3.004    0.000 assumptions.py:226(copy)
   197721    0.069    0.000    0.148    0.000 transforms.py:178(<lambda>)
197531/197227    0.094    0.000    0.263    0.000 transforms.py:2573(get_matrix)
   193532    0.723    0.000    0.797    0.000 transforms.py:164(set_children)
   193494    0.253    0.000    2.448    0.000 numbers.py:605(_eval_subs)
   192881    0.233    0.000    0.344    0.000 {built-in method builtins.min}
   188939    0.062    0.000    0.062    0.000 {method 'insert' of 'list' objects}
   188494    0.111    0.000    0.111    0.000 fromnumeric.py:74(<dictcomp>)
   188494    0.674    0.000    1.874    0.000 fromnumeric.py:73(_wrapreduction)
   186805    0.039    0.000    0.039    0.000 __init__.py:922(<listcomp>)
   186805    0.146    0.000    0.185    0.000 __init__.py:919(clean)
   184690    0.096    0.000    0.992    0.000 _base.py:2100(_process_single_axis)
   184690    0.556    0.000    1.643    0.000 _base.py:3143(_validate_converted_limits)
   183785    0.068    0.000    0.068    0.000 axis.py:1388(get_major_locator)
   183785    0.138    0.000    1.836    0.000 ticker.py:1523(nonsingular)
   175782    0.023    0.000    0.023    0.000 numbers.py:2463(__nonzero__)
175671/168933    4.089    0.000   59.350    0.000 mul.py:97(flatten)
   175641    0.031    0.000    0.031    0.000 mul.py:460(<listcomp>)
   175641    0.025    0.000    0.026    0.000 mul.py:558(<listcomp>)
   175621    0.090    0.000    2.490    0.000 mul.py:32(_mulsort)
165747/453    0.487    0.000  700.326    1.546 artist.py:30(draw_wrapper)
   161921    0.026    0.000    0.026    0.000 artist.py:770(get_visible)
157022/148096    0.148    0.000    5.612    0.000 decorators.py:122(binary_op_wrapper)
   154306    0.167    0.000    0.524    0.000 numbers.py:582(_as_mpf_op)
   153284    0.040    0.000    0.040    0.000 {method 'update' of 'dict' objects}
   152024    0.067    0.000    0.067    0.000 libmpf.py:663(mpf_neg)
   152021    0.197    0.000    1.085    0.000 numbers.py:1144(__neg__)
   151646    0.204    0.000    2.186    0.000 numbers.py:1598(__mul__)
   144104    0.055    0.000    0.129    0.000 densebasic.py:159(dmp_degree)
   143161    0.030    0.000    0.030    0.000 mul.py:1102(<genexpr>)
   143161    0.053    0.000    0.079    0.000 mul.py:1107(<genexpr>)
   138073    0.052    0.000    0.052    0.000 transforms.py:1671(<lambda>)
   136704    0.133    0.000    0.928    0.000 lines.py:1282(set_xdata)
   132211    0.170    0.000    0.756    0.000 transforms.py:1748(frozen)
   129600    0.026    0.000    0.026    0.000 PID.py:5(_clamp)
   129600    0.018    0.000    0.018    0.000 PID.py:163(output_limits)
   129030    0.101    0.000    0.130    0.000 transforms.py:386(intervaly)
   122614    0.020    0.000    0.020    0.000 fromnumeric.py:197(_reshape_dispatcher)
   122614    0.088    0.000    0.460    0.000 fromnumeric.py:202(reshape)
   122614    0.083    0.000    0.633    0.000 <__array_function__ internals>:2(reshape)
122209/116933    0.052    0.000    0.420    0.000 transforms.py:2328(_invalidate_internal)
   121112    0.076    0.000    0.191    0.000 numbers.py:1814(__hash__)
   121001    0.102    0.000    1.550    0.000 axis.py:1480(update_units)
   119052    0.030    0.000    0.473    0.000 {built-in method builtins.setattr}
   118111    0.145    0.000    0.821    0.000 extmath.py:117(safe_sparse_dot)
   115367    0.043    0.000    0.061    0.000 mul.py:1100(<genexpr>)
   115352    0.037    0.000    0.047    0.000 mul.py:1104(<genexpr>)
   115212    0.060    0.000    0.114    0.000 font_manager.py:1233(<genexpr>)
   114344    0.047    0.000    0.074    0.000 transforms.py:1687(__array__)
   114319    0.037    0.000    0.050    0.000 add.py:497(<genexpr>)
   114319    0.041    0.000    0.083    0.000 add.py:503(<genexpr>)
   114319    0.038    0.000    0.112    0.000 add.py:507(<genexpr>)
   114313    0.038    0.000    0.051    0.000 add.py:499(<genexpr>)
   114307    0.036    0.000    0.049    0.000 add.py:505(<genexpr>)
   112870    0.032    0.000    0.032    0.000 {method 'copy' of 'dict' objects}
   112511    0.026    0.000    0.026    0.000 expr.py:1873(as_base_exp)
   111629    0.079    0.000    0.104    0.000 artist.py:373(get_transform)
   110915    0.085    0.000    0.158    0.000 transforms.py:2375(transform_non_affine)
   110863    0.033    0.000    0.046    0.000 add.py:509(<genexpr>)
   110863    0.034    0.000    0.119    0.000 add.py:511(<genexpr>)
   108977    0.024    0.000    0.024    0.000 power.py:300(exp)
   108864    0.381    0.000    3.661    0.000 power.py:654(_eval_subs)
106944/106894    0.240    0.000    1.592    0.000 expr.py:148(__mul__)
   106007    0.053    0.000    0.053    0.000 axis.py:1536(have_units)
   105750    0.092    0.000    0.182    0.000 lines.py:59(_scale_dashes)
   105256    0.064    0.000    0.066    0.000 transforms.py:2258(get_matrix)
   104686    0.185    0.000    0.714    0.000 __init__.py:2012(_setattr_cm)
   103894    0.036    0.000    0.067    0.000 add.py:501(<genexpr>)
   103383    0.056    0.000    0.093    0.000 numbers.py:1106(_as_mpf_op)
   101601    0.053    0.000    0.090    0.000 backend_bases.py:918(set_foreground)
   101321    0.046    0.000    0.076    0.000 assumptions.py:229(generator)
   101093    0.110    0.000    1.506    0.000 <__array_function__ internals>:2(any)
   101093    0.022    0.000    0.022    0.000 fromnumeric.py:2185(_any_dispatcher)
   101093    0.134    0.000    1.286    0.000 fromnumeric.py:2189(any)
   101016    0.022    0.000    0.022    0.000 numbers.py:3180(__eq__)
    98532    0.013    0.000    0.013    0.000 font_manager.py:724(get_size_in_points)
    95748    0.075    0.000    1.368    0.000 backend_bases.py:654(new_gc)
    95748    0.415    0.000    1.294    0.000 backend_bases.py:718(__init__)
    95748    0.014    0.000    0.014    0.000 backend_bases.py:759(restore)
    95748    0.027    0.000    0.027    0.000 backend_bases.py:788(get_clip_path)
    95748    0.020    0.000    0.020    0.000 backend_bases.py:798(get_dashes)
    95748    0.017    0.000    0.017    0.000 backend_bases.py:840(get_snap)
    95748    0.026    0.000    0.026    0.000 backend_bases.py:886(set_clip_path)
    95748    0.020    0.000    0.020    0.000 backend_bases.py:972(get_hatch)
